Year,Storm Name,Start Date,End Date,Dates,Max Wind Speed (mph),Min pressure (mb),Storm Type
1950,ABLE,8/12/50,8/24/50,8/12 - 8/24,110,953,Hurricane
1950,BAKER,8/18/50,9/1/50,8/18 - 9/1,90,979,Hurricane
1950,CHARLIE,8/21/50,9/5/50,8/21 - 9/5,95,974,Hurricane
1950,EASY,9/1/50,9/9/50,9/1 - 9/9,105,960,Hurricane
1950,FOX,9/8/50,9/17/50,9/8 - 9/17,120,946,Hurricane
1950,DOG,8/30/50,9/18/50,8/30 - 9/18,125,953,Hurricane
1950,HOW,10/1/50,10/4/50,10/1 - 10/4,40,,Tropical Storm
1950,GEORGE,9/27/50,10/7/50,9/27 - 10/7,95,960,Hurricane
1950,ITEM,10/8/50,10/11/50,10/8 - 10/11,90,980,Hurricane
1950,JIG,10/11/50,10/18/50,10/11 - 10/18,100,,Hurricane
1950,KING,10/13/50,10/20/50,10/13 - 10/20,115,955,Hurricane
1950,LOVE,10/18/50,10/22/50,10/18 - 10/22,70,987,Hurricane
1950,MIKE,10/25/50,10/28/50,10/25 - 10/28,40,,Tropical Storm
1951,ABLE,5/16/51,5/24/51,5/16 - 5/24,80,973,Hurricane
1951,BAKER,8/2/51,8/5/51,8/2 - 8/5,50,996,Tropical Storm
1951,CHARLIE,8/12/51,8/23/51,8/12 - 8/23,115,968,Hurricane
1951,DOG,8/27/51,9/5/51,8/27 - 9/5,80,992,Hurricane
1951,FOX,9/2/51,9/11/51,9/2 - 9/11,100,,Hurricane
1951,EASY,9/1/51,9/14/51,9/1 - 9/14,130,937,Hurricane
1951,GEORGE,9/16/51,9/22/51,9/19 - 9/22,50,999,Tropical Storm
1951,HOW,9/29/51,10/11/51,9/29 - 10/11,85,963,Hurricane
1951,ITEM,10/12/51,10/17/51,10/12 - 10/17,55,998,Tropical Storm
1951,JIG,10/15/51,10/20/51,10/15 - 10/20,65,990,Hurricane
1952,ABLE,8/18/52,9/3/52,8/18 - 9/3,85,983,Hurricane
1952,BAKER,8/31/52,9/10/52,8/31 - 9/10,95,969,Hurricane
1952,DOG,9/24/52,9/30/52,9/24 - 9/30,60,998,Tropical Storm
1952,CHARLIE,9/24/52,10/1/52,9/24 - 10/1,105,958,Hurricane
1952,EASY,10/6/52,10/11/52,10/6 - 10/11,90,968,Hurricane
1952,FOX,10/20/52,10/28/52,10/20 - 10/28,125,934,Hurricane
1953,ALICE,5/25/53,6/7/53,5/25 - 6/7,60,994,Tropical Storm
1953,BARBARA,8/11/53,8/16/53,8/11 - 8/16,80,973,Hurricane
1953,CAROL,8/28/53,9/9/53,8/28 - 9/9,140,929,Hurricane
1953,DOLLY,9/8/53,9/16/53,9/8 - 9/16,65,989,Hurricane
1953,EDNA,9/15/53,9/21/53,9/15 - 9/21,100,962,Hurricane
1953,FLORENCE,9/23/53,9/27/53,9/23 - 9/27,100,968,Hurricane
1953,GAIL,10/2/53,10/12/53,10/2 - 10/12,70,986,Hurricane
1953,HAZEL,10/7/53,10/16/53,10/7 - 10/16,75,989,Hurricane
1954,ALICE,6/24/54,6/24/54,6/24 - 6/27,95,,Hurricane
1954,BARBARA,7/27/54,7/30/54,7/27 - 7/30,50,999,Tropical Storm
1954,CAROL,8/25/54,9/1/54,8/25 - 9/1,100,955,Hurricane
1954,DOLLY,8/31/54,9/4/54,8/31 - 9/4,75,994,Hurricane
1954,FLORENCE,9/10/54,9/12/54,9/10 - 9/12,55,1001,Tropical Storm
1954,EDNA,9/5/54,9/14/54,9/5 - 9/14,110,943,Hurricane
1954,GILDA,9/24/54,9/30/54,9/24 - 9/30,60,998,Tropical Storm
1954,HAZEL,10/5/54,10/18/54,10/5 - 10/18,115,938,Hurricane
1954,ALICE,12/30/54,1/6/55,12/30 - 1/6,80,991,Hurricane
1955,BRENDA,7/31/55,8/3/55,7/31 - 8/3,60,,Tropical Storm
1955,CONNIE,8/3/55,8/15/55,8/3 - 8/15,120,944,Hurricane
1955,DIANE,8/7/55,8/23/55,8/7 - 8/23,90,969,Hurricane
1955,EDITH,8/21/55,9/5/55,8/21 - 9/5,85,967,Hurricane
1955,GLADYS,9/3/55,9/6/55,9/3 - 9/6,65,996,Hurricane
1955,FLORA,9/2/55,9/9/55,9/2 - 9/9,90,967,Hurricane
1955,HILDA,9/12/55,9/20/55,9/12 - 9/20,105,952,Hurricane
1955,IONE,9/10/55,9/27/55,9/10 - 9/27,120,938,Hurricane
1955,JANET,9/21/55,9/30/55,9/21 - 9/30,150,914,Hurricane
1955,KATIE,10/14/55,10/19/55,10/14 - 10/19,95,984,Hurricane
1956,ANNA,7/25/56,7/27/56,7/25 - 7/27,75,991,Hurricane
1956,BETSY,8/9/56,8/21/56,8/9 - 8/21,105,954,Hurricane
1956,DORA,9/10/56,9/13/56,9/10 - 9/13,50,1000,Tropical Storm
1956,ETHEL,9/11/56,9/14/56,9/11 - 9/14,50,999,Tropical Storm
1956,CARLA,9/7/56,9/16/56,9/7 - 9/16,60,1000,Tropical Storm
1956,FLOSSY,9/20/56,10/3/56,9/20 - 10/3,80,974,Hurricane
1956,GRETA,10/31/56,11/7/56,10/31 - 11/7,85,970,Hurricane
1957,AUDREY,6/24/57,6/29/57,6/24 - 6/29,110,946,Hurricane
1957,BERTHA,8/8/57,8/11/57,8/8 - 8/11,55,998,Tropical Storm
1957,DEBBIE,9/7/57,9/9/57,9/7 - 9/9,35,1003,Tropical Storm
1957,ESTHER,9/16/57,9/19/57,9/16 - 9/19,55,1000,Tropical Storm
1957,CARRIE,9/2/57,9/25/57,9/2 - 9/25,120,945,Hurricane
1957,FRIEDA,9/20/57,9/27/57,9/20 - 9/27,75,975,Hurricane
1958,ALMA,6/14/58,6/16/58,6/14 - 6/16,55,,Tropical Storm
1958,BECKY,8/8/58,8/17/58,8/8 - 8/17,60,1004,Tropical Storm
1958,CLEO,8/11/58,8/22/58,8/11 - 8/22,120,947,Hurricane
1958,DAISY,8/23/58,8/31/58,8/23 - 8/31,115,948,Hurricane
1958,ELLA,8/30/58,9/7/58,8/30 - 9/7,95,983,Hurricane
1958,FIFI,9/4/58,9/11/58,9/4 - 9/11,75,1000,Hurricane
1958,GERDA,9/14/58,9/22/58,9/14 - 9/22,50,1001,Tropical Storm
1958,ILSA,9/24/58,9/30/58,9/24 - 9/30,95,956,Hurricane
1958,HELENE,9/21/58,10/4/58,9/21 - 10/4,130,930,Hurricane
1958,JANICE,10/4/58,10/13/58,10/4 - 10/13,85,968,Hurricane
1959,ARLENE,5/28/59,6/2/59,5/28 - 6/2,55,993,Tropical Storm
1959,BEULAH,6/15/59,6/19/59,6/15 - 6/19,60,985,Tropical Storm
1959,CINDY,7/4/59,7/12/59,7/4 - 7/12,65,995,Hurricane
1959,DEBRA,7/22/59,7/27/59,7/22 - 7/27,75,980,Hurricane
1959,EDITH,8/18/59,8/19/59,8/18 - 8/19,50,1007,Tropical Storm
1959,FLORA,9/9/59,9/13/59,9/9 - 9/13,65,994,Hurricane
1959,GRACIE,9/20/59,10/2/59,9/20 - 10/2,115,951,Hurricane
1959,HANNAH,9/27/59,10/8/59,9/27 - 10/8,105,959,Hurricane
1959,IRENE,10/6/59,10/9/59,10/6 - 10/9,40,1000,Tropical Storm
1959,JUDITH,10/14/59,10/22/59,10/14 - 10/22,75,988,Hurricane
1960,ABBY,7/9/60,7/17/60,7/9 - 7/17,70,995,Hurricane
1960,BRENDA,7/27/60,8/7/60,7/27 - 8/7,60,976,Tropical Storm
1960,CLEO,8/17/60,8/21/60,8/17 - 8/21,75,995,Hurricane
1960,DONNA,8/29/60,9/14/60,8/29 - 9/14,125,930,Hurricane
1960,ETHEL,9/12/60,9/17/60,9/12 - 9/17,100,974,Hurricane
1960,FLORENCE,9/17/60,9/26/60,9/17 - 9/26,50,1000,Tropical Storm
1961,ANNA,7/17/61,7/25/61,7/17 - 7/25,90,976,Hurricane
1961,BETSY,9/2/61,9/16/61,9/2 - 9/16,115,945,Hurricane
1961,CARLA,9/3/61,9/18/61,9/3 - 9/18,125,927,Hurricane
1961,DEBBIE,9/5/61,9/18/61,9/5 - 9/18,80,961,Hurricane
1961,ESTHER,9/10/61,9/27/61,9/10 - 9/27,140,919,Hurricane
1961,FRANCES,9/30/61,10/10/61,9/30 - 10/10,115,948,Hurricane
1961,GERDA,10/17/61,10/22/61,10/17 - 10/22,65,988,Tropical Storm
1961,HATTIE,10/26/61,11/1/61,10/26 - 11/1,145,914,Hurricane
1961,SIMONE,11/1/61,11/3/61,11/1 - 11/3,45,,Tropical Storm
1961,INGA,11/4/61,11/8/61,11/4 - 11/8,60,997,Tropical Storm
1961,JENNY,11/2/61,11/11/61,11/2 - 11/11,70,974,Hurricane
1962,BECKY,8/27/62,9/1/62,8/27 - 9/1,50,,Tropical Storm
1962,ALMA,8/26/62,9/2/62,8/26 - 9/2,75,984,Hurricane
1962,CELIA,9/12/62,9/21/62,9/12 - 9/21,60,995,Tropical Storm
1962,DAISY,9/29/62,10/9/62,9/29 - 10/9,90,950,Hurricane
1962,ELLA,10/14/62,10/25/62,10/14 - 10/25,95,958,Hurricane
1963,ARLENE,7/31/63,8/14/63,7/31 - 8/14,100,969,Hurricane
1963,BEULAH,8/20/63,9/8/63,8/20 - 9/8,105,958,Hurricane
1963,CINDY,9/16/63,9/20/63,9/16 - 9/20,55,996,Tropical Storm
1963,DEBRA,9/19/63,9/24/63,9/19 - 9/24,65,999,Hurricane
1963,EDITH,9/23/63,9/29/63,9/23 - 9/29,85,990,Hurricane
1963,FLORA,9/28/63,10/17/63,9/28 - 10/17,130,933,Hurricane
1963,GINNY,10/17/63,10/30/63,10/17 - 10/30,95,948,Hurricane
1963,HELENA,10/25/63,10/30/63,10/25 - 10/30,45,1002,Tropical Storm
1964,ABBY,8/5/64,8/8/64,8/5 - 8/8,60,1000,Tropical Storm
1964,BRENDA,8/8/64,8/10/64,8/8 - 8/10,45,1006,Tropical Storm
1964,FLORENCE,9/5/64,9/10/64,9/5 - 9/10,40,1003,Tropical Storm
1964,CLEO,8/20/64,9/11/64,8/20 - 9/11,130,938,Hurricane
1964,DORA,8/28/64,9/16/64,8/28 - 9/16,115,942,Hurricane
1964,ETHEL,9/4/64,9/17/64,9/4 - 9/17,90,969,Hurricane
1964,GLADYS,9/13/64,9/25/64,9/13 - 9/25,115,945,Hurricane
1964,HILDA,9/28/64,10/7/64,9/28 - 10/7,120,941,Hurricane
1964,ISBELL,10/9/64,10/16/64,10/9 - 10/16,100,964,Hurricane
1965,ANNA,8/21/65,8/26/65,8/21 - 8/26,90,,Hurricane
1965,BETSY,8/27/65,9/13/65,8/27 - 9/13,120,942,Hurricane
1965,DEBBIE,9/24/65,9/30/65,9/24 - 9/30,50,1000,Tropical Storm
1965,CAROL,9/16/65,10/3/65,9/16 - 10/3,80,974,Hurricane
1965,ELENA,10/12/65,10/20/65,10/12 - 10/20,95,977,Hurricane
1966,ALMA,6/5/66,6/14/66,6/5 - 6/14,100,970,Hurricane
1966,BECKY,6/30/66,7/3/66,6/30 - 7/3,75,984,Hurricane
1966,CELIA,7/13/66,7/22/66,7/13 - 7/22,65,994,Hurricane
1966,ELLA,7/22/66,7/28/66,7/22 - 7/28,35,1008,Tropical Storm
1966,DOROTHY,7/21/66,7/31/66,7/21 - 7/31,75,989,Hurricane
1966,GRETA,9/1/66,9/6/66,9/1 - 9/6,45,1004,Tropical Storm
1966,FAITH,8/21/66,9/7/66,8/21 - 9/7,105,950,Hurricane
1966,HALLIE,9/20/66,9/21/66,9/20 - 9/21,50,997,Tropical Storm
1966,JUDITH,9/27/66,9/30/66,9/27 - 9/30,40,1007,Tropical Storm
1966,INEZ,9/21/66,10/11/66,9/21 - 10/11,145,927,Hurricane
1966,KENDRA,10/3/66,10/11/66,10/3 - 10/11,30,,Tropical Depression
1966,LOIS,11/4/66,11/14/66,11/4 - 11/14,75,983,Hurricane
1967,ARLENE,8/28/67,9/5/67,8/28 - 9/5,80,982,Hurricane
1967,CHLOE,9/4/67,9/21/67,9/4 - 9/21,95,958,Hurricane
1967,DORIA,9/4/67,9/21/67,9/4 - 9/21,85,973,Hurricane
1967,BEULAH,9/5/67,9/24/67,9/5 - 9/24,140,923,Hurricane
1967,EDITH,9/26/67,10/1/67,9/26 - 10/1,45,1000,Tropical Storm
1967,FERN,10/1/67,10/4/67,10/1 - 10/4,65,987,Hurricane
1967,GINGER,10/5/67,10/8/67,10/5 - 10/8,45,1011,Tropical Storm
1967,HEIDI,10/19/67,11/2/67,10/19 - 11/2,75,981,Hurricane
1968,ABBY,6/1/68,6/13/68,6/1 - 6/13,65,992,Hurricane
1968,BRENDA,6/18/68,6/26/68,6/18 - 6/26,70,990,Hurricane
1968,CANDY,6/22/68,6/26/68,6/22 - 6/26,60,995,Tropical Storm
1968,DOLLY,8/10/68,8/17/68,8/10 - 8/17,75,985,Hurricane
1968,EDNA,9/13/68,9/17/68,9/13 - 9/17,60,1012,Tropical Storm
1968,FRANCES,9/23/68,9/29/68,9/23 - 9/29,50,1001,Tropical Storm
1968,GLADYS,10/13/68,10/21/68,10/13 - 10/21,85,977,Hurricane
1970,ALMA,5/17/70,5/27/70,5/17 - 5/27,65,993,Hurricane
1970,BECKY,7/19/70,7/23/70,7/19 - 7/23,55,1003,Tropical Storm
1970,CELIA,7/31/70,8/5/70,7/31 - 8/5,120,944,Hurricane
1970,DOROTHY,8/18/70,8/22/70,8/18 - 8/22,60,996,Tropical Storm
1970,ELLA,9/8/70,9/13/70,9/8 - 9/13,110,962,Hurricane
1970,FELICE,9/12/70,9/19/70,9/12 - 9/19,60,990,Tropical Storm
1970,GRETA,9/26/70,10/4/70,9/26 - 10/4,40,1003,Tropical Storm
1971,ARLENE,7/4/71,7/8/71,7/4 - 7/8,55,1000,Tropical Storm
1971,BETH,8/10/71,8/17/71,8/10 - 8/17,75,977,Hurricane
1971,CHLOE,8/18/71,8/25/71,8/18 - 8/25,55,1004,Tropical Storm
1971,DORIA,8/20/71,8/29/71,8/20 - 8/29,55,989,Tropical Storm
1971,FERN,9/3/71,9/13/71,9/3 - 9/13,80,978,Hurricane
1971,HEIDI,9/11/71,9/15/71,9/11 - 9/15,55,996,Tropical Storm
1971,EDITH,9/5/71,9/18/71,9/5 - 9/18,140,943,Hurricane
1971,JANICE,9/21/71,9/24/71,9/21 - 9/24,55,1005,Tropical Storm
1971,IRENE:OLIVIA,9/11/71,10/1/71,9/11 - 10/1,100,948,Hurricane
1971,GINGER,9/6/71,10/5/71,9/6 - 10/5,95,959,Hurricane
1971,KRISTY,10/18/71,10/21/71,10/18 - 10/21,45,992,Tropical Storm
1971,LAURA,11/12/71,11/22/71,11/12 - 11/22,60,994,Tropical Storm
1972,ALPHA,5/23/72,5/29/72,5/23 - 5/29,60,991,Subtropical Storm
1972,AGNES,6/14/72,6/23/72,6/14 - 6/23,75,977,Hurricane
1972,BETTY,8/22/72,9/1/72,8/22 - 9/1,90,976,Hurricane
1972,CARRIE,8/29/72,9/5/72,8/29 - 9/5,60,992,Tropical Storm
1972,DAWN,9/5/72,9/14/72,9/5 - 9/14,70,997,Hurricane
1972,CHARLIE,9/19/72,9/22/72,9/19 - 9/22,60,944,Extratropical
1972,DELTA,11/1/72,11/7/72,11/1 - 11/7,40,1001,Subtropical Storm
1973,ALICE,7/1/73,7/7/73,7/1 - 7/7,80,986,Hurricane
1973,ALFA,7/30/73,8/2/73,7/30 - 8/2,40,1005,Subtropical Storm
1973,BRENDA,8/18/73,8/22/73,8/18 - 8/22,80,977,Hurricane
1973,CHRISTINE,8/25/73,9/4/73,8/25 - 9/4,60,996,Tropical Storm
